,G01N,G05B,G06F,G06K,G06N,G06Q,G06T,G10L,H04L,H04N
0,28233.0,7539.0,35444.0,8412.0,1116.0,9915.0,5129.0,1523.0,24263.0,15499.0
1,28449.0,7603.0,35676.0,8479.0,1137.0,9898.0,5170.0,1529.0,24386.0,15430.0
2,28665.0,7668.0,35907.0,8545.0,1158.0,9881.0,5212.0,1536.0,24510.0,15361.0
3,28881.0,7732.0,36139.0,8611.0,1179.0,9865.0,5254.0,1542.0,24634.0,15292.0
4,29097.0,7796.0,36370.0,8677.0,1200.0,9848.0,5296.0,1548.0,24758.0,15223.0
5,29313.0,7861.0,36602.0,8743.0,1220.0,9831.0,5338.0,1554.0,24881.0,15154.0
6,29529.0,7925.0,36833.0,8809.0,1241.0,9814.0,5379.0,1561.0,25005.0,15085.0
7,29745.0,7989.0,37065.0,8875.0,1262.0,9798.0,5421.0,1567.0,25129.0,15016.0
8,29961.0,8053.0,37297.0,8941.0,1283.0,9781.0,5463.0,1573.0,25253.0,14946.0
9,30177.0,8118.0,37528.0,9007.0,1303.0,9764.0,5505.0,1580.0,25377.0,14877.0
10,30393.0,8182.0,37760.0,9073.0,1324.0,9748.0,5546.0,1586.0,25500.0,14808.0
11,30609.0,8246.0,37991.0,9139.0,1345.0,9731.0,5588.0,1592.0,25624.0,14739.0
12,30825.0,8311.0,38223.0,9205.0,1366.0,9714.0,5630.0,1599.0,25748.0,14670.0
13,31041.0,8375.0,38455.0,9271.0,1387.0,9698.0,5672.0,1605.0,25872.0,14601.0
14,1976.0,569.0,2155.0,609.0,185.0,-24.0,403.0,59.0,1129.0,-561.0
15,2192.0,633.0,2387.0,675.0,206.0,-41.0,445.0,65.0,1253.0,-630.0
16,2408.0,697.0,2618.0,741.0,227.0,-58.0,487.0,71.0,1377.0,-699.0
17,2624.0,761.0,2850.0,807.0,247.0,-74.0,528.0,77.0,1500.0,-768.0
18,2840.0,826.0,3081.0,873.0,268.0,-91.0,570.0,84.0,1624.0,-837.0
19,3056.0,890.0,3313.0,939.0,289.0,-108.0,612.0,90.0,1748.0,-906.0
20,3272.0,954.0,3544.0,1005.0,310.0,-124.0,654.0,96.0,1872.0,-975.0
21,3488.0,1019.0,3776.0,1071.0,331.0,-141.0,696.0,103.0,1995.0,-1044.0
22,3704.0,1083.0,4008.0,1137.0,351.0,-158.0,737.0,109.0,2119.0,-1114.0
23,3920.0,1147.0,4239.0,1204.0,372.0,-174.0,779.0,115.0,2243.0,-1183.0
24,4136.0,1212.0,4471.0,1270.0,393.0,-191.0,821.0,122.0,2367.0,-1252.0
25,4352.0,1276.0,4702.0,1336.0,414.0,-208.0,863.0,128.0,2491.0,-1321.0
26,4568.0,1340.0,4934.0,1402.0,435.0,-224.0,905.0,134.0,2614.0,-1390.0
27,4784.0,1404.0,5166.0,1468.0,455.0,-241.0,946.0,140.0,2738.0,-1459.0
28,1869.0,541.0,1965.0,575.0,170.0,-43.0,350.0,55.0,1034.0,-529.0
29,2085.0,605.0,2196.0,641.0,191.0,-60.0,391.0,61.0,1158.0,-598.0
30,2301.0,670.0,2428.0,707.0,212.0,-76.0,433.0,68.0,1282.0,-667.0
31,2517.0,734.0,2659.0,773.0,233.0,-93.0,475.0,74.0,1406.0,-736.0
32,2733.0,798.0,2891.0,839.0,253.0,-110.0,517.0,80.0,1529.0,-805.0
33,2949.0,863.0,3122.0,905.0,274.0,-126.0,559.0,87.0,1653.0,-874.0
34,3165.0,927.0,3354.0,971.0,295.0,-143.0,600.0,93.0,1777.0,-943.0
35,3381.0,991.0,3586.0,1037.0,316.0,-160.0,642.0,99.0,1901.0,-1013.0
36,3597.0,1055.0,3817.0,1103.0,336.0,-176.0,684.0,106.0,2025.0,-1082.0
37,3813.0,1120.0,4049.0,1170.0,357.0,-193.0,726.0,112.0,2148.0,-1151.0
38,4029.0,1184.0,4280.0,1236.0,378.0,-210.0,767.0,118.0,2272.0,-1220.0
39,4245.0,1248.0,4512.0,1302.0,399.0,-226.0,809.0,124.0,2396.0,-1289.0
40,4461.0,1313.0,4744.0,1368.0,420.0,-243.0,851.0,131.0,2520.0,-1358.0
41,4677.0,1377.0,4975.0,1434.0,440.0,-260.0,893.0,137.0,2643.0,-1427.0
42,1615.0,465.0,1791.0,484.0,152.0,-15.0,310.0,50.0,990.0,-457.0
43,1831.0,530.0,2023.0,550.0,173.0,-31.0,352.0,57.0,1114.0,-526.0
44,2047.0,594.0,2254.0,616.0,194.0,-48.0,394.0,63.0,1238.0,-595.0
45,2263.0,658.0,2486.0,682.0,215.0,-65.0,435.0,69.0,1361.0,-664.0
46,2479.0,722.0,2718.0,748.0,235.0,-81.0,477.0,75.0,1485.0,-733.0
47,2695.0,787.0,2949.0,814.0,256.0,-98.0,519.0,82.0,1609.0,-802.0
48,2911.0,851.0,3181.0,880.0,277.0,-115.0,561.0,88.0,1733.0,-872.0
49,3127.0,915.0,3412.0,946.0,298.0,-131.0,603.0,94.0,1856.0,-941.0
50,3343.0,980.0,3644.0,1012.0,318.0,-148.0,644.0,101.0,1980.0,-1010.0
51,3559.0,1044.0,3875.0,1078.0,339.0,-165.0,686.0,107.0,2104.0,-1079.0
52,3775.0,1108.0,4107.0,1144.0,360.0,-181.0,728.0,113.0,2228.0,-1148.0
53,3991.0,1172.0,4339.0,1210.0,381.0,-198.0,770.0,120.0,2352.0,-1217.0
54,4207.0,1237.0,4570.0,1277.0,402.0,-215.0,811.0,126.0,2475.0,-1286.0
55,4423.0,1301.0,4802.0,1343.0,422.0,-231.0,853.0,132.0,2599.0,-1355.0
56,1486.0,434.0,1596.0,450.0,137.0,-73.0,286.0,44.0,889.0,-432.0
57,1702.0,498.0,1828.0,516.0,157.0,-90.0,327.0,50.0,1013.0,-501.0
58,1918.0,563.0,2060.0,583.0,178.0,-107.0,369.0,57.0,1137.0,-570.0
59,2134.0,627.0,2291.0,649.0,199.0,-123.0,411.0,63.0,1260.0,-639.0
60,2350.0,691.0,2523.0,715.0,220.0,-140.0,453.0,69.0,1384.0,-708.0
61,2566.0,755.0,2754.0,781.0,241.0,-157.0,495.0,76.0,1508.0,-777.0
62,2782.0,820.0,2986.0,847.0,261.0,-173.0,536.0,82.0,1632.0,-846.0
63,2998.0,884.0,3218.0,913.0,282.0,-190.0,578.0,88.0,1756.0,-916.0
64,3214.0,948.0,3449.0,979.0,303.0,-207.0,620.0,94.0,1879.0,-985.0
65,3430.0,1013.0,3681.0,1045.0,324.0,-223.0,662.0,101.0,2003.0,-1054.0
66,3646.0,1077.0,3912.0,1111.0,345.0,-240.0,704.0,107.0,2127.0,-1123.0
67,3862.0,1141.0,4144.0,1177.0,365.0,-257.0,745.0,113.0,2251.0,-1192.0
68,4078.0,1205.0,4375.0,1243.0,386.0,-273.0,787.0,120.0,2374.0,-1261.0
69,4294.0,1270.0,4607.0,1309.0,407.0,-290.0,829.0,126.0,2498.0,-1330.0
70,2034.0,518.0,2411.0,696.0,160.0,35.0,440.0,87.0,1421.0,-196.0
71,2250.0,583.0,2643.0,762.0,181.0,18.0,482.0,93.0,1545.0,-265.0
72,2466.0,647.0,2874.0,828.0,202.0,1.0,523.0,100.0,1669.0,-335.0
73,2683.0,711.0,3106.0,894.0,223.0,-15.0,565.0,106.0,1793.0,-404.0
74,2899.0,775.0,3337.0,960.0,244.0,-32.0,607.0,112.0,1916.0,-473.0
75,3115.0,840.0,3569.0,1026.0,264.0,-49.0,649.0,119.0,2040.0,-542.0
76,3331.0,904.0,3800.0,1092.0,285.0,-66.0,691.0,125.0,2164.0,-611.0
77,3547.0,968.0,4032.0,1159.0,306.0,-82.0,732.0,131.0,2288.0,-680.0
78,3763.0,1033.0,4264.0,1225.0,327.0,-99.0,774.0,137.0,2412.0,-749.0
79,3979.0,1097.0,4495.0,1291.0,348.0,-116.0,816.0,144.0,2535.0,-818.0
80,4195.0,1161.0,4727.0,1357.0,368.0,-132.0,858.0,150.0,2659.0,-887.0
81,4411.0,1226.0,4958.0,1423.0,389.0,-149.0,900.0,156.0,2783.0,-956.0
82,4627.0,1290.0,5190.0,1489.0,410.0,-166.0,941.0,163.0,2907.0,-1025.0
83,4843.0,1354.0,5422.0,1555.0,431.0,-182.0,983.0,169.0,3030.0,-1095.0
84,3608.0,945.0,3247.0,894.0,188.0,131.0,556.0,125.0,2033.0,-123.0
85,3824.0,1009.0,3478.0,960.0,208.0,114.0,598.0,131.0,2157.0,-192.0
86,4040.0,1073.0,3710.0,1026.0,229.0,98.0,640.0,138.0,2280.0,-262.0
87,4256.0,1137.0,3942.0,1092.0,250.0,81.0,682.0,144.0,2404.0,-331.0
88,4472.0,1202.0,4173.0,1158.0,271.0,64.0,723.0,150.0,2528.0,-400.0
89,4688.0,1266.0,4405.0,1224.0,292.0,48.0,765.0,156.0,2652.0,-469.0
