,G01N,G05B,G06F,G06K,G06N,G06Q,G06T,G10L,H04L,H04N
0,26652.0,7422.0,33752.0,7663.0,972.0,9022.0,4749.0,1359.0,23104.0,15113.0
1,26873.0,7488.0,34006.0,7730.0,991.0,9041.0,4796.0,1367.0,23234.0,15103.0
2,27094.0,7555.0,34260.0,7797.0,1011.0,9061.0,4844.0,1375.0,23364.0,15093.0
3,27314.0,7621.0,34514.0,7864.0,1031.0,9080.0,4891.0,1383.0,23493.0,15083.0
4,27535.0,7688.0,34769.0,7931.0,1050.0,9100.0,4939.0,1391.0,23623.0,15073.0
5,27756.0,7754.0,35023.0,7998.0,1070.0,9120.0,4986.0,1399.0,23753.0,15063.0
6,27977.0,7821.0,35277.0,8065.0,1090.0,9139.0,5033.0,1407.0,23883.0,15053.0
7,28198.0,7887.0,35531.0,8131.0,1109.0,9159.0,5081.0,1415.0,24012.0,15043.0
8,28419.0,7953.0,35785.0,8198.0,1129.0,9178.0,5128.0,1423.0,24142.0,15033.0
9,28640.0,8020.0,36039.0,8265.0,1149.0,9198.0,5176.0,1431.0,24272.0,15022.0
10,28861.0,8086.0,36294.0,8332.0,1168.0,9218.0,5223.0,1439.0,24402.0,15012.0
11,29082.0,8153.0,36548.0,8399.0,1188.0,9237.0,5270.0,1447.0,24532.0,15002.0
12,29303.0,8219.0,36802.0,8466.0,1208.0,9257.0,5318.0,1456.0,24661.0,14992.0
13,29523.0,8286.0,37056.0,8533.0,1227.0,9277.0,5365.0,1464.0,24791.0,14982.0
14,2018.0,589.0,2357.0,617.0,175.0,292.0,452.0,74.0,1182.0,-44.0
15,2239.0,656.0,2611.0,684.0,195.0,311.0,499.0,82.0,1312.0,-54.0
16,2460.0,722.0,2865.0,751.0,215.0,331.0,546.0,90.0,1442.0,-64.0
17,2680.0,789.0,3119.0,817.0,234.0,351.0,594.0,98.0,1572.0,-74.0
18,2901.0,855.0,3373.0,884.0,254.0,370.0,641.0,106.0,1701.0,-84.0
19,3122.0,922.0,3628.0,951.0,274.0,390.0,689.0,115.0,1831.0,-94.0
20,3343.0,988.0,3882.0,1018.0,293.0,409.0,736.0,123.0,1961.0,-104.0
21,3564.0,1055.0,4136.0,1085.0,313.0,429.0,783.0,131.0,2091.0,-114.0
22,3785.0,1121.0,4390.0,1152.0,333.0,449.0,831.0,139.0,2221.0,-124.0
23,4006.0,1188.0,4644.0,1219.0,352.0,468.0,878.0,147.0,2350.0,-134.0
24,4227.0,1254.0,4899.0,1286.0,372.0,488.0,926.0,155.0,2480.0,-144.0
25,4448.0,1320.0,5153.0,1353.0,392.0,507.0,973.0,163.0,2610.0,-154.0
26,4669.0,1387.0,5407.0,1419.0,411.0,527.0,1020.0,171.0,2740.0,-164.0
27,4889.0,1453.0,5661.0,1486.0,431.0,547.0,1068.0,179.0,2869.0,-174.0
28,1908.0,559.0,2147.0,581.0,161.0,250.0,395.0,69.0,1083.0,-52.0
29,2129.0,625.0,2401.0,648.0,181.0,270.0,442.0,78.0,1212.0,-62.0
30,2350.0,692.0,2655.0,715.0,200.0,289.0,490.0,86.0,1342.0,-72.0
31,2571.0,758.0,2909.0,782.0,220.0,309.0,537.0,94.0,1472.0,-82.0
32,2792.0,825.0,3164.0,849.0,240.0,328.0,584.0,102.0,1602.0,-92.0
33,3013.0,891.0,3418.0,916.0,259.0,348.0,632.0,110.0,1732.0,-102.0
34,3234.0,957.0,3672.0,983.0,279.0,368.0,679.0,118.0,1861.0,-112.0
35,3455.0,1024.0,3926.0,1050.0,299.0,387.0,727.0,126.0,1991.0,-122.0
36,3676.0,1090.0,4180.0,1117.0,318.0,407.0,774.0,134.0,2121.0,-132.0
37,3897.0,1157.0,4435.0,1183.0,338.0,426.0,821.0,142.0,2251.0,-142.0
38,4117.0,1223.0,4689.0,1250.0,358.0,446.0,869.0,150.0,2380.0,-152.0
39,4338.0,1290.0,4943.0,1317.0,377.0,466.0,916.0,158.0,2510.0,-162.0
40,4559.0,1356.0,5197.0,1384.0,397.0,485.0,964.0,166.0,2640.0,-172.0
41,4780.0,1423.0,5451.0,1451.0,417.0,505.0,1011.0,174.0,2770.0,-182.0
42,1812.0,528.0,2152.0,539.0,158.0,258.0,385.0,70.0,1134.0,-41.0
43,2033.0,594.0,2406.0,605.0,178.0,278.0,432.0,78.0,1264.0,-51.0
44,2253.0,661.0,2660.0,672.0,197.0,298.0,480.0,86.0,1394.0,-61.0
45,2474.0,727.0,2914.0,739.0,217.0,317.0,527.0,94.0,1523.0,-71.0
46,2695.0,794.0,3168.0,806.0,237.0,337.0,575.0,102.0,1653.0,-81.0
47,2916.0,860.0,3423.0,873.0,256.0,356.0,622.0,110.0,1783.0,-91.0
48,3137.0,927.0,3677.0,940.0,276.0,376.0,669.0,118.0,1913.0,-101.0
49,3358.0,993.0,3931.0,1007.0,296.0,396.0,717.0,126.0,2043.0,-111.0
50,3579.0,1060.0,4185.0,1074.0,315.0,415.0,764.0,134.0,2172.0,-121.0
51,3800.0,1126.0,4439.0,1141.0,335.0,435.0,812.0,142.0,2302.0,-131.0
52,4021.0,1193.0,4693.0,1207.0,355.0,454.0,859.0,151.0,2432.0,-141.0
53,4241.0,1259.0,4948.0,1274.0,374.0,474.0,906.0,159.0,2562.0,-151.0
54,4462.0,1326.0,5202.0,1341.0,394.0,494.0,954.0,167.0,2691.0,-161.0
55,4683.0,1392.0,5456.0,1408.0,414.0,513.0,1001.0,175.0,2821.0,-171.0
56,1483.0,435.0,1691.0,444.0,126.0,160.0,313.0,54.0,905.0,-47.0
57,1704.0,502.0,1945.0,511.0,145.0,180.0,361.0,62.0,1035.0,-57.0
58,1924.0,568.0,2200.0,577.0,165.0,200.0,408.0,70.0,1165.0,-67.0
59,2145.0,635.0,2454.0,644.0,185.0,219.0,456.0,78.0,1295.0,-77.0
60,2366.0,701.0,2708.0,711.0,204.0,239.0,503.0,86.0,1425.0,-87.0
61,2587.0,768.0,2962.0,778.0,224.0,259.0,550.0,94.0,1554.0,-97.0
62,2808.0,834.0,3216.0,845.0,244.0,278.0,598.0,102.0,1684.0,-107.0
63,3029.0,901.0,3470.0,912.0,263.0,298.0,645.0,110.0,1814.0,-117.0
64,3250.0,967.0,3725.0,979.0,283.0,317.0,693.0,118.0,1944.0,-127.0
65,3471.0,1034.0,3979.0,1046.0,303.0,337.0,740.0,126.0,2073.0,-137.0
66,3692.0,1100.0,4233.0,1113.0,322.0,357.0,787.0,134.0,2203.0,-147.0
67,3912.0,1166.0,4487.0,1179.0,342.0,376.0,835.0,142.0,2333.0,-157.0
68,4133.0,1233.0,4741.0,1246.0,362.0,396.0,882.0,151.0,2463.0,-167.0
69,4354.0,1299.0,4996.0,1313.0,381.0,415.0,930.0,159.0,2593.0,-177.0
70,2311.0,605.0,2843.0,776.0,173.0,307.0,528.0,110.0,1659.0,254.0
71,2532.0,671.0,3097.0,843.0,193.0,326.0,576.0,118.0,1789.0,244.0
72,2753.0,738.0,3351.0,910.0,212.0,346.0,623.0,126.0,1919.0,234.0
73,2974.0,804.0,3605.0,977.0,232.0,366.0,670.0,134.0,2049.0,224.0
74,3195.0,871.0,3859.0,1044.0,252.0,385.0,718.0,143.0,2178.0,214.0
75,3416.0,937.0,4114.0,1111.0,271.0,405.0,765.0,151.0,2308.0,204.0
76,3637.0,1004.0,4368.0,1178.0,291.0,424.0,813.0,159.0,2438.0,194.0
77,3858.0,1070.0,4622.0,1244.0,311.0,444.0,860.0,167.0,2568.0,184.0
78,4078.0,1137.0,4876.0,1311.0,330.0,464.0,907.0,175.0,2697.0,174.0
79,4299.0,1203.0,5130.0,1378.0,350.0,483.0,955.0,183.0,2827.0,164.0
80,4520.0,1270.0,5385.0,1445.0,370.0,503.0,1002.0,191.0,2957.0,154.0
81,4741.0,1336.0,5639.0,1512.0,389.0,522.0,1050.0,199.0,3087.0,144.0
82,4962.0,1403.0,5893.0,1579.0,409.0,542.0,1097.0,207.0,3217.0,134.0
83,5183.0,1469.0,6147.0,1646.0,429.0,562.0,1144.0,215.0,3346.0,124.0
84,3274.0,850.0,3036.0,784.0,153.0,408.0,530.0,116.0,1811.0,333.0
85,3495.0,917.0,3290.0,850.0,172.0,427.0,577.0,124.0,1941.0,323.0
86,3716.0,983.0,3544.0,917.0,192.0,447.0,625.0,133.0,2071.0,313.0
87,3937.0,1050.0,3798.0,984.0,212.0,466.0,672.0,141.0,2201.0,303.0
88,4158.0,1116.0,4053.0,1051.0,231.0,486.0,719.0,149.0,2330.0,293.0
89,4379.0,1183.0,4307.0,1118.0,251.0,506.0,767.0,157.0,2460.0,283.0
90,4600.0,1249.0,4561.0,1185.0,271.0,525.0,814.0,165.0,2590.0,273.0
91,4820.0,1316.0,4815.0,1252.0,290.0,545.0,862.0,173.0,2720.0,263.0
92,5041.0,1382.0,5069.0,1319.0,310.0,564.0,909.0,181.0,2850.0,253.0
93,5262.0,1449.0,5323.0,1385.0,330.0,584.0,956.0,189.0,2979.0,243.0
94,5483.0,1515.0,5578.0,1452.0,349.0,604.0,1004.0,197.0,3109.0,233.0
95,5704.0,1582.0,5832.0,1519.0,369.0,623.0,1051.0,205.0,3239.0,223.0
96,5925.0,1648.0,6086.0,1586.0,389.0,643.0,1099.0,213.0,3369.0,213.0
97,6146.0,1715.0,6340.0,1653.0,408.0,662.0,1146.0,221.0,3498.0,203.0
98,1838.0,549.0,2133.0,558.0,162.0,171.0,395.0,68.0,1089.0,-73.0
99,2059.0,616.0,2387.0,625.0,182.0,190.0,443.0,76.0,1219.0,-83.0
100,2280.0,682.0,2641.0,692.0,202.0,210.0,490.0,84.0,1349.0,-93.0
101,2501.0,749.0,2896.0,759.0,221.0,229.0,537.0,92.0,1478.0,-103.0
102,2722.0,815.0,3150.0,825.0,241.0,249.0,585.0,100.0,1608.0,-113.0
103,2943.0,882.0,3404.0,892.0,261.0,269.0,632.0,108.0,1738.0,-123.0
104,3164.0,948.0,3658.0,959.0,280.0,288.0,680.0,116.0,1868.0,-133.0
105,3385.0,1015.0,3912.0,1026.0,300.0,308.0,727.0,124.0,1997.0,-143.0
106,3605.0,1081.0,4166.0,1093.0,320.0,328.0,774.0,132.0,2127.0,-153.0
107,3826.0,1148.0,4421.0,1160.0,339.0,347.0,822.0,140.0,2257.0,-163.0
108,4047.0,1214.0,4675.0,1227.0,359.0,367.0,869.0,148.0,2387.0,-173.0
109,4268.0,1281.0,4929.0,1294.0,379.0,386.0,916.0,156.0,2516.0,-183.0
110,4489.0,1347.0,5183.0,1361.0,398.0,406.0,964.0,165.0,2646.0,-193.0
111,4710.0,1413.0,5437.0,1427.0,418.0,426.0,1011.0,173.0,2776.0,-203.0
112,1782.0,535.0,2034.0,536.0,155.0,187.0,376.0,66.0,1040.0,-63.0
113,2003.0,601.0,2288.0,603.0,175.0,207.0,423.0,74.0,1170.0,-73.0
114,2224.0,668.0,2542.0,670.0,194.0,226.0,471.0,82.0,1300.0,-83.0
115,2445.0,734.0,2796.0,737.0,214.0,246.0,518.0,90.0,1430.0,-93.0
116,2666.0,800.0,3051.0,804.0,234.0,266.0,566.0,98.0,1559.0,-103.0
117,2887.0,867.0,3305.0,871.0,253.0,285.0,613.0,106.0,1689.0,-113.0
118,3108.0,933.0,3559.0,938.0,273.0,305.0,660.0,114.0,1819.0,-123.0
119,3329.0,1000.0,3813.0,1005.0,293.0,325.0,708.0,122.0,1949.0,-133.0
120,3550.0,1066.0,4067.0,1071.0,312.0,344.0,755.0,130.0,2079.0,-143.0
121,3770.0,1133.0,4322.0,1138.0,332.0,364.0,803.0,139.0,2208.0,-153.0
122,3991.0,1199.0,4576.0,1205.0,352.0,383.0,850.0,147.0,2338.0,-163.0
123,4212.0,1266.0,4830.0,1272.0,371.0,403.0,897.0,155.0,2468.0,-173.0
124,4433.0,1332.0,5084.0,1339.0,391.0,423.0,945.0,163.0,2598.0,-183.0
125,4654.0,1399.0,5338.0,1406.0,411.0,442.0,992.0,171.0,2727.0,-193.0
126,13422.0,2465.0,33044.0,4971.0,409.0,23133.0,7815.0,2620.0,10076.0,43471.0
127,13643.0,2531.0,33299.0,5038.0,429.0,23152.0,7862.0,2628.0,10206.0,43461.0
