G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N
2012,151651;438,2441191;3935,425186;689,207702;128,2145564;2020,855983;607,1032243;174,9891845;2191,223513;1550,025429
2098,932694;457,6400202;4107,351642;719,6989303;133,8696233;2109,196845;633,9790564;182,6630843;2286,344973;1618,064196
2185,713738;477,0359214;4279,278097;750,1901586;139,5246903;2197,537707;660,8548884;190,336984;2381,466433;1686,102964
2272,494782;496,4318225;4451,204553;780,6813869;145,1797572;2285,878569;687,7307205;198,0108838;2476,587893;1754,141731
2359,275825;515,8277236;4623,131008;811,1726152;150,8348241;2374,21943;714,6065525;205,6847835;2571,709353;1822,180499
2446,056869;535,2236248;4795,057464;841,6638435;156,4898911;2462,560292;741,4823846;213,3586832;2666,830813;1890,219266
2532,837913;554,6195259;4966,983919;872,1550718;162,144958;2550,901154;768,3582167;221,032583;2761,952273;1958,258034
2619,618956;574,0154271;5138,910375;902,6463001;167,8000249;2639,242016;795,2340487;228,7064827;2857,073733;2026,296801
2706,4;593,4113282;5310,83683;933,1375284;173,4550919;2727,582878;822,1098808;236,3803825;2952,195193;2094,335569
2793,181044;612,8072294;5482,763286;963,6287567;179,1101588;2815,923739;848,9857128;244,0542822;3047,316654;2162,374336
1622,03346;350,4400015;3103,980432;552,9698507;100,8364963;1583,716493;483,3662796;141,4508517;1787,460825;1228,654449
1708,814504;369,8359026;3275,906888;583,461079;106,4915633;1672,057354;510,2421116;149,1247514;1882,582285;1296,693217
1795,595547;389,2318038;3447,833343;613,9523073;112,1466302;1760,398216;537,1179437;156,7986511;1977,703745;1364,731984
1882,376591;408,6277049;3619,759799;644,4435356;117,8016971;1848,739078;563,9937757;164,4725509;2072,825205;1432,770751
1969,157635;428,0236061;3791,686254;674,9347639;123,4567641;1937,07994;590,8696078;172,1464506;2167,946665;1500,809519
2055,938678;447,4195072;3963,61271;705,4259922;129,111831;2025,420801;617,7454398;179,8203504;2263,068125;1568,848286
2142,719722;466,8154084;4135,539165;735,9172205;134,7668979;2113,761663;644,6212719;187,4942501;2358,189585;1636,887054
2229,500766;486,2113095;4307,465621;766,4084488;140,4219648;2202,102525;671,497104;195,1681498;2453,311045;1704,925821
2316,281809;505,6072107;4479,392076;796,8996772;146,0770318;2290,443387;698,372936;202,8420496;2548,432505;1772,964589
2403,062853;525,0031118;4651,318532;827,3909055;151,7320987;2378,784249;725,2487681;210,5159493;2643,553965;1841,003356
2489,843897;544,3990129;4823,244987;857,8821338;157,3871656;2467,12511;752,1246001;218,1898491;2738,675425;1909,042123
2576,62494;563,7949141;4995,171443;888,3733621;163,0422326;2555,465972;779,0004322;225,8637488;2833,796886;1977,080891
2663,405984;583,1908152;5167,097898;918,8645904;168,6972995;2643,806834;805,8762643;233,5376485;2928,918346;2045,119658
2750,187028;602,5867164;5339,024354;949,3558187;174,3523664;2732,147696;832,7520963;241,2115483;3024,039806;2113,158426
2040,897954;409,1381641;3676,134174;739,8013829;114,2726716;1723,187433;588,5154525;170,5509952;2114,86283;1545,07711
2127,678997;428,5340653;3848,06063;770,2926112;119,9277385;1811,528295;615,3912846;178,2248949;2209,98429;1613,115877
2214,460041;447,9299664;4019,987085;800,7838395;125,5828054;1899,869156;642,2671167;185,8987947;2305,10575;1681,154644
2301,241085;467,3258676;4191,913541;831,2750678;131,2378724;1988,210018;669,1429487;193,5726944;2400,22721;1749,193412
2388,022128;486,7217687;4363,839996;861,7662961;136,8929393;2076,55088;696,0187808;201,2465941;2495,34867;1817,232179
2474,803172;506,1176698;4535,766452;892,2575244;142,5480062;2164,891742;722,8946128;208,9204939;2590,47013;1885,270947
2561,584216;525,513571;4707,692907;922,7487527;148,2030731;2253,232604;749,7704449;216,5943936;2685,59159;1953,309714
2648,365259;544,9094721;4879,619363;953,239981;153,8581401;2341,573465;776,6462769;224,2682934;2780,71305;2021,348482
2735,146303;564,3053733;5051,545818;983,7312093;159,513207;2429,914327;803,522109;231,9421931;2875,83451;2089,387249
2821,927347;583,7012744;5223,472274;1014,222438;165,1682739;2518,255189;830,3979411;239,6160928;2970,95597;2157,426017
2908,70839;603,0971756;5395,398729;1044,713666;170,8233409;2606,596051;857,2737731;247,2899926;3066,07743;2225,464784
2995,489434;622,4930767;5567,325185;1075,204894;176,4784078;2694,936912;884,1496052;254,9638923;3161,19889;2293,503551
3082,270478;641,8889779;5739,25164;1105,696123;182,1334747;2783,277774;911,0254372;262,6377921;3256,32035;2361,542319
3169,051521;661,284879;5911,178096;1136,187351;187,7885417;2871,618636;937,9012693;270,3116918;3351,441811;2429,581086
3207,901377;665,3838979;4131,834524;852,4204722;117,929076;1786,595334;630,9612819;201,7120718;2429,021775;1781,353115
3294,682421;684,7797991;4303,76098;882,9117006;123,5841429;1874,936195;657,837114;209,3859716;2524,143235;1849,391883
3381,463465;704,1757002;4475,687435;913,4029289;129,2392099;1963,277057;684,712946;217,0598713;2619,264695;1917,43065
3468,244508;723,5716014;4647,613891;943,8941572;134,8942768;2051,617919;711,5887781;224,7337711;2714,386155;1985,469418
3555,025552;742,9675025;4819,540346;974,3853855;140,5493437;2139,958781;738,4646101;232,4076708;2809,507615;2053,508185
3641,806596;762,3634036;4991,466802;1004,876614;146,2044107;2228,299642;765,3404422;240,0815705;2904,629075;2121,546953
3728,587639;781,7593048;5163,393257;1035,367842;151,8594776;2316,640504;792,2162743;247,7554703;2999,750536;2189,58572
3815,368683;801,1552059;5335,319713;1065,85907;157,5145445;2404,981366;819,0921063;255,42937;3094,871996;2257,624488
3902,149727;820,5511071;5507,246169;1096,350299;163,1696115;2493,322228;845,9679384;263,1032698;3189,993456;2325,663255
3988,93077;839,9470082;5679,172624;1126,841527;168,8246784;2581,66309;872,8437704;270,7771695;3285,114916;2393,702022
